image_path,label
valid\Potato___Early_blight\1994cd3e-4000-4c56-bede-d35a1eecc287___RS_Early.B 6867_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\1c42eae7-29c8-42fd-b05a-9b8255790f6f___RS_Early.B 7719.JPG,Potato___Early_blight
valid\Potato___Early_blight\1d4fc5d0-fee6-40bf-8e7b-e1598ea64161___RS_Early.B 8912.JPG,Potato___Early_blight
valid\Potato___Early_blight\1e671694-5713-4568-b8ad-06f15688d25e___RS_Early.B 7659.JPG,Potato___Early_blight
valid\Potato___Early_blight\1f830d02-1fc6-41d6-99c6-851e0d2af4ad___RS_Early.B 9182.JPG,Potato___Early_blight
valid\Potato___Early_blight\201fed44-8dde-4ece-9e76-3706b8afdf46___RS_Early.B 8259_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\20421747-c083-48a1-aed5-b1097ae50491___RS_Early.B 8203_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\20978e65-f4d0-419a-bab9-f6042ab2d318___RS_Early.B 6868_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\212c3c65-e30e-496f-ab5e-c2f4b0446d8f___RS_Early.B 8195.JPG,Potato___Early_blight
valid\Potato___Early_blight\212c3c65-e30e-496f-ab5e-c2f4b0446d8f___RS_Early.B 8195_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\21d50c27-900e-4644-ab01-0cc96214d2f6___RS_Early.B 7153.JPG,Potato___Early_blight
valid\Potato___Early_blight\221c911f-e483-407c-b672-21150d09d57e___RS_Early.B 7678_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\2356a4d6-8015-434e-a5f8-03197fef2c28___RS_Early.B 8139_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\2446ca09-aa29-4ae4-8d34-45115c32cde7___RS_Early.B 8971_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\24a34259-1c47-4e87-ac83-5decf37b42e4___RS_Early.B 6896.JPG,Potato___Early_blight
valid\Potato___Early_blight\24fb74df-0aa9-4e89-9ba4-55a4664438ab___RS_Early.B 8634.JPG,Potato___Early_blight
valid\Potato___Early_blight\25703c4f-ec40-4099-b249-a4fd07b07752___RS_Early.B 7040.JPG,Potato___Early_blight
valid\Potato___Early_blight\2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\268bb1c3-a714-46af-b6a5-bea66496158c___RS_Early.B 8678_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\26d0fa09-d463-461b-830c-3e970244cabb___RS_Early.B 7406.JPG,Potato___Early_blight
valid\Potato___Early_blight\275c3337-11ee-487c-9093-bcd5e310c72c___RS_Early.B 7671.JPG,Potato___Early_blight
valid\Potato___Early_blight\2767ef91-3383-4872-9804-e0bcd2bc43fc___RS_Early.B 7783_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\2771e005-3cb4-4e12-8868-80adca5ce02a___RS_Early.B 8640.JPG,Potato___Early_blight
valid\Potato___Early_blight\283134dd-8b32-447e-8e82-547d3b69f4d4___RS_Early.B 7494_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\29386668-721c-4359-99a6-734f1a4b096b___RS_Early.B 8362.JPG,Potato___Early_blight
valid\Potato___Early_blight\29386668-721c-4359-99a6-734f1a4b096b___RS_Early.B 8362_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\29922d76-0eda-4e7c-89af-7688c656bfdd___RS_Early.B 8353_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\29978e78-7d4a-4fff-a659-52e45e9b96b3___RS_Early.B 7672.JPG,Potato___Early_blight
valid\Potato___Early_blight\2b1718b3-c951-4f24-b6ec-4eb7df77c913___RS_Early.B 7475.JPG,Potato___Early_blight
valid\Potato___Early_blight\2c310eaf-dbf4-4e8f-a8d8-ed8e0b51067a___RS_Early.B 6897.JPG,Potato___Early_blight
valid\Potato___Early_blight\2cafa90e-af46-4d0a-9137-9780d816b96a___RS_Early.B 7731.JPG,Potato___Early_blight
valid\Potato___Early_blight\2cce6cd6-16c4-426f-84e6-2f3c192fac2c___RS_Early.B 8999.JPG,Potato___Early_blight
valid\Potato___Early_blight\2ebb14eb-0e87-468c-a1cb-80579a77a37a___RS_Early.B 7044.JPG,Potato___Early_blight
valid\Potato___Early_blight\2f81d148-c62f-4d3c-baf4-72b77abea41a___RS_Early.B 7493.JPG,Potato___Early_blight
valid\Potato___Early_blight\2fe81ef1-d7ec-4395-b071-c74d5beb4037___RS_Early.B 7242.JPG,Potato___Early_blight
valid\Potato___Early_blight\306c45ac-6f97-4b7e-9fad-1c8c39870138___RS_Early.B 7673_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\31290247-3f4f-445d-8bad-20d7dccbf979___RS_Early.B 7019.JPG,Potato___Early_blight
valid\Potato___Early_blight\31d5d932-9eb3-45d1-bc85-40ef64d7a688___RS_Early.B 7255.JPG,Potato___Early_blight
valid\Potato___Early_blight\320be8ee-2f9a-48f2-86fa-1c1d993a2fe2___RS_Early.B 8186.JPG,Potato___Early_blight
valid\Potato___Early_blight\336e5156-8947-46a7-a6fb-e993255d9091___RS_Early.B 8085.JPG,Potato___Early_blight
valid\Potato___Early_blight\336e5156-8947-46a7-a6fb-e993255d9091___RS_Early.B 8085_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\349730da-a627-4da6-90d5-707c4a3dba88___RS_Early.B 7553.JPG,Potato___Early_blight
valid\Potato___Early_blight\34f44be4-9dc5-460b-896d-cd6593166fe7___RS_Early.B 8175.JPG,Potato___Early_blight
valid\Potato___Early_blight\357b61ef-a56b-4207-aa26-161b0ef3e635___RS_Early.B 8492_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\3613b972-6af8-4a9a-be7f-bf68e4eb4cd0___RS_Early.B 6813.JPG,Potato___Early_blight
valid\Potato___Early_blight\3682433d-fb0a-495b-a6e8-d753542b042b___RS_Early.B 8189.JPG,Potato___Early_blight
valid\Potato___Early_blight\38807f81-ce49-4978-916a-a6cd2a95bfb0___RS_Early.B 8397_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\392c5f68-3ee5-4b61-90e9-afa16375beb8___RS_Early.B 8047_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\3a314933-9e92-4c90-acc2-656a04c591e7___RS_Early.B 8906.JPG,Potato___Early_blight
valid\Potato___Early_blight\3b090cee-ba51-44c2-9cc6-4581db95070e___RS_Early.B 7789.JPG,Potato___Early_blight
valid\Potato___Early_blight\3b1e3161-b02e-4aa0-a490-8a50c242d10e___RS_Early.B 8553.JPG,Potato___Early_blight
valid\Potato___Early_blight\3c3a9c2c-3387-4666-9f42-4d14142e9500___RS_Early.B 8499.JPG,Potato___Early_blight
valid\Potato___Early_blight\3e7543bc-4792-4b65-afd9-f9ccd52b7319___RS_Early.B 8571.JPG,Potato___Early_blight
valid\Potato___Early_blight\3ef2279b-2fda-463a-b007-e2a93ff977f0___RS_Early.B 7235.JPG,Potato___Early_blight
valid\Potato___Early_blight\403aa255-393c-43b4-8f68-f68efbf4f5df___RS_Early.B 8544_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\4138df1f-b8f7-429f-9e95-a627f6aba912___RS_Early.B 7667.JPG,Potato___Early_blight
valid\Potato___Early_blight\41cc6e70-9745-413d-b13d-c4775bcdfa7c___RS_Early.B 7610.JPG,Potato___Early_blight
valid\Potato___Early_blight\41e155c4-eccf-4166-83cb-f110b2312c48___RS_Early.B 6985.JPG,Potato___Early_blight
valid\Potato___Early_blight\41e155c4-eccf-4166-83cb-f110b2312c48___RS_Early.B 6985_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\41eccd84-6a67-4b04-ae69-59c1bcf17728___RS_Early.B 7964.JPG,Potato___Early_blight
valid\Potato___Early_blight\41f4502c-34aa-45a5-b593-7191f7a62f96___RS_Early.B 8774_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\422fa1a6-d0f7-4634-9233-0d002ff139ae___RS_Early.B 7218.JPG,Potato___Early_blight
valid\Potato___Early_blight\422fa1a6-d0f7-4634-9233-0d002ff139ae___RS_Early.B 7218_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\425e5f26-56b0-404d-b537-dc3353ecee09___RS_Early.B 7058_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\426aeefb-981d-4436-9f92-0fe230bb65fe___RS_Early.B 6977_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\426aeefb-981d-4436-9f92-0fe230bb65fe___RS_Early.B 6977_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\432f1b02-9493-4cf1-8ef7-a40f817e43ff___RS_Early.B 8497_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\432f1b02-9493-4cf1-8ef7-a40f817e43ff___RS_Early.B 8497_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\434ccb1f-7a21-47f4-96b5-3e87bf5fe2a2___RS_Early.B 6760.JPG,Potato___Early_blight
valid\Potato___Early_blight\434ccb1f-7a21-47f4-96b5-3e87bf5fe2a2___RS_Early.B 6760_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\43af6366-6c6a-408c-a10d-a4bad9428a19___RS_Early.B 7595_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\43ddad18-d70a-49d3-97d6-9a5f82ddeecd___RS_Early.B 9069_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\450b4a32-39ae-4daa-aeb6-87559afb0b42___RS_Early.B 9202.JPG,Potato___Early_blight
valid\Potato___Early_blight\450b4a32-39ae-4daa-aeb6-87559afb0b42___RS_Early.B 9202_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\454203b9-0376-4db3-92ed-047545daa7c6___RS_Early.B 6953.JPG,Potato___Early_blight
valid\Potato___Early_blight\46dc77f0-be88-4887-b1f7-82adff9aaa39___RS_Early.B 7750_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\4857420e-b28e-4bb5-aa03-5e333cf27af0___RS_Early.B 6847.JPG,Potato___Early_blight
valid\Potato___Early_blight\495e73a1-0f61-43a6-b539-d7f74e3fbf71___RS_Early.B 8245.JPG,Potato___Early_blight
valid\Potato___Early_blight\49b24f9e-12d4-4f32-8bc8-482d66514a17___RS_Early.B 8037_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\49ecf1fe-0000-49e8-a042-fb6c9bac38c9___RS_Early.B 8940_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\4bba904e-b4af-4a81-8252-b8d997bc5057___RS_Early.B 7695.JPG,Potato___Early_blight
valid\Potato___Early_blight\4eb1fee6-e288-4c32-841d-9fc1d1824508___RS_Early.B 8446.JPG,Potato___Early_blight
valid\Potato___Early_blight\4efd8455-c6ef-4e25-abad-d4d273f84c28___RS_Early.B 8128.JPG,Potato___Early_blight
valid\Potato___Early_blight\4f71ba26-6612-427b-8dc0-4d8cc909f1fa___RS_Early.B 7122.JPG,Potato___Early_blight
valid\Potato___Early_blight\519e17be-a518-410a-ad3e-153d07fc3563___RS_Early.B 7711.JPG,Potato___Early_blight
valid\Potato___Early_blight\51ab2ec9-d90b-47f3-8e4a-fdceeceb033b___RS_Early.B 7859_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\51bc94fe-ba23-4776-a9ec-727e55015acb___RS_Early.B 8267_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\51d521bb-5800-4f46-8fd0-f6cb09f37989___RS_Early.B 7572_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\51f13c93-c8b6-4542-a81b-cb1a2e83f179___RS_Early.B 7684_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\51f59871-72dc-490c-a550-9e7869142284___RS_Early.B 7224.JPG,Potato___Early_blight
valid\Potato___Early_blight\520475a1-5acf-433f-a306-cff6ec1a99ef___RS_Early.B 9159.JPG,Potato___Early_blight
valid\Potato___Early_blight\52fb5725-33cf-4076-9abc-93311d027da2___RS_Early.B 8415.JPG,Potato___Early_blight
valid\Potato___Early_blight\53257270-67b3-4408-aaec-abbd9f5f19f0___RS_Early.B 7212_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\53e30623-2023-4bbf-b904-ba39426f8628___RS_Early.B 7613_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\541f3dc9-a330-4caf-97f3-88bec1b60c53___RS_Early.B 7767_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\544b5324-f697-4af8-90d4-47b7b86691c6___RS_Early.B 7028_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\5585ecfc-6e6e-4544-8e6d-180d958b7211___RS_Early.B 7619.JPG,Potato___Early_blight
valid\Potato___Early_blight\569206bf-423e-4508-b1b4-2ca6821aceac___RS_Early.B 7554_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\56a6692b-15ba-4097-aba1-ba428b6fefcd___RS_Early.B 7899_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\5720f8b8-4fd7-451f-af18-a48730691c2d___RS_Early.B 7155.JPG,Potato___Early_blight
valid\Potato___Early_blight\5720f8b8-4fd7-451f-af18-a48730691c2d___RS_Early.B 7155_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\57bb36be-b5bc-44e0-91e5-0b1b4d31bc82___RS_Early.B 7311_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\57c5fe0f-ce93-412a-a29e-a70a4aa23649___RS_Early.B 6818.JPG,Potato___Early_blight
valid\Potato___Early_blight\57c5fe0f-ce93-412a-a29e-a70a4aa23649___RS_Early.B 6818_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\583fa343-d5be-414b-bd95-f674313bd882___RS_Early.B 7681.JPG,Potato___Early_blight
valid\Potato___Early_blight\5888d397-4e83-4fac-bcf7-0de778966d36___RS_Early.B 7418.JPG,Potato___Early_blight
valid\Potato___Early_blight\58cb5c58-3161-4476-9361-3ee2673cc82b___RS_Early.B 7368.JPG,Potato___Early_blight
valid\Potato___Early_blight\593de3cd-1e2e-4943-b5f3-ef9d5d857894___RS_Early.B 8336.JPG,Potato___Early_blight
valid\Potato___Early_blight\59f90f4b-add8-4f50-af1f-052b35aa99e1___RS_Early.B 9001.JPG,Potato___Early_blight
valid\Potato___Early_blight\5a152fa7-7645-42ea-9c59-13258febe52f___RS_Early.B 7175.JPG,Potato___Early_blight
valid\Potato___Early_blight\5a6f3209-223e-43e5-8680-41dd3d5091ce___RS_Early.B 7288.JPG,Potato___Early_blight
valid\Potato___Early_blight\5abfa537-636f-41df-a833-311a3018aac9___RS_Early.B 8176.JPG,Potato___Early_blight
valid\Potato___Early_blight\5bb77b39-311b-4ad1-8bfc-5a41a13b7b02___RS_Early.B 8255.JPG,Potato___Early_blight
valid\Potato___Early_blight\5caecfc6-8e1d-401b-8014-763dec01cb98___RS_Early.B 8063.JPG,Potato___Early_blight
valid\Potato___Early_blight\5de34904-b1e6-48ef-9daf-73d80f5cc6c3___RS_Early.B 8345.JPG,Potato___Early_blight
valid\Potato___Early_blight\5deee0ba-6bbb-450e-a107-102063e2f93b___RS_Early.B 7429.JPG,Potato___Early_blight
valid\Potato___Early_blight\610fd102-fd1b-45c3-978b-68c65d432382___RS_Early.B 7819.JPG,Potato___Early_blight
valid\Potato___Early_blight\61d53ca2-a8e2-4e5d-b8cd-3f9608b74fc1___RS_Early.B 6746_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\6269c9ec-ef8a-49b5-ab1a-451565529c38___RS_Early.B 7166_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\6269c9ec-ef8a-49b5-ab1a-451565529c38___RS_Early.B 7166_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\62e81304-8d1b-46ed-a79a-52cf53a63919___RS_Early.B 7363_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\6319585f-ed2f-4657-ae79-a23db65d0fce___RS_Early.B 7033.JPG,Potato___Early_blight
valid\Potato___Early_blight\64ced002-f0b1-42b2-b448-b7b3655e38c1___RS_Early.B 9010.JPG,Potato___Early_blight
valid\Potato___Early_blight\64ced002-f0b1-42b2-b448-b7b3655e38c1___RS_Early.B 9010_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\65b66b8f-2117-4876-85bd-23941349231f___RS_Early.B 7219_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\65b66b8f-2117-4876-85bd-23941349231f___RS_Early.B 7219_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\65f6e2f1-300b-42f0-bcc8-467753411947___RS_Early.B 7591_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\65f6e2f1-300b-42f0-bcc8-467753411947___RS_Early.B 7591_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\66b6c6d1-fe63-4c7e-8054-bdf6ff67ff57___RS_Early.B 7514_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\66b6c6d1-fe63-4c7e-8054-bdf6ff67ff57___RS_Early.B 7514_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\67468907-b28a-4740-a9f4-ce69b93878c9___RS_Early.B 7142.JPG,Potato___Early_blight
valid\Potato___Early_blight\677662b1-2c4e-4d93-b4fd-950815b9d2c8___RS_Early.B 8813_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\6799ab86-73ef-4825-b4cf-9ae616c40ce9___RS_Early.B 7410_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\691161ad-7897-4654-a7bc-14d8b5839621___RS_Early.B 6976_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\69a20537-e5fd-4f1e-8800-ef9aa4fa4766___RS_Early.B 8111_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\69ee53e1-a9b6-4e97-bc5f-f91617bc87ab___RS_Early.B 7987_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\6a74ff09-be5a-4412-a192-2370a37c0751___RS_Early.B 8584.JPG,Potato___Early_blight
valid\Potato___Early_blight\6ad3d424-3e81-4b18-a029-4a20884c4ada___RS_Early.B 8380.JPG,Potato___Early_blight
valid\Potato___Early_blight\6bd7d398-9cce-4282-a853-9625a641ebd6___RS_Early.B 8416.JPG,Potato___Early_blight
valid\Potato___Early_blight\6edb7358-f41f-4fd2-8371-12700bdbc94c___RS_Early.B 6801.JPG,Potato___Early_blight
valid\Potato___Early_blight\6f37a2b1-e63c-4d82-aec2-9ff036473867___RS_Early.B 7585.JPG,Potato___Early_blight
valid\Potato___Early_blight\71ab124e-93ba-4d4e-ae53-68ac12fcb858___RS_Early.B 8129_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\71ab124e-93ba-4d4e-ae53-68ac12fcb858___RS_Early.B 8129_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\72013507-bfce-4b7a-b56e-f66a94cb4558___RS_Early.B 7930.JPG,Potato___Early_blight
valid\Potato___Early_blight\7248171d-98a5-4bf0-9a8d-5c5a8820eba9___RS_Early.B 6680.JPG,Potato___Early_blight
valid\Potato___Early_blight\7248171d-98a5-4bf0-9a8d-5c5a8820eba9___RS_Early.B 6680_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\72c4221d-f82b-48fc-a91e-8aa46f5cb0cc___RS_Early.B 8399_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\72f9e596-8d1e-4ffd-923d-55645d6adca1___RS_Early.B 7704.JPG,Potato___Early_blight
valid\Potato___Early_blight\73cf20a6-b2c4-4302-a664-c43dccb78cfb___RS_Early.B 6930_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\73cf20a6-b2c4-4302-a664-c43dccb78cfb___RS_Early.B 6930_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\7456db33-766c-4a68-b924-ddf69d579981___RS_Early.B 6723.JPG,Potato___Early_blight
valid\Potato___Early_blight\7456db33-766c-4a68-b924-ddf69d579981___RS_Early.B 6723_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\74bedc99-e24e-43de-a17c-003822c8af41___RS_Early.B 8725_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\77725a5a-c0b8-4b7c-bc42-ac99f51428c1___RS_Early.B 7401_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\77725a5a-c0b8-4b7c-bc42-ac99f51428c1___RS_Early.B 7401_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\7795f733-eeb0-4353-bdb8-b2f4d8d622d4___RS_Early.B 6960_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\779e2b0a-0922-41bc-9393-da3750494671___RS_Early.B 8382_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\77c86eac-945e-4942-8eab-1269373d645a___RS_Early.B 7755.JPG,Potato___Early_blight
valid\Potato___Early_blight\78071f69-3d02-4576-bd46-28732dd528aa___RS_Early.B 9228_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\78313ae7-3589-4d23-a5b6-0457e500bd1a___RS_Early.B 6768.JPG,Potato___Early_blight
valid\Potato___Early_blight\78313ae7-3589-4d23-a5b6-0457e500bd1a___RS_Early.B 6768_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\7855ccc3-28ac-4269-a8ce-618df8a27573___RS_Early.B 7834.JPG,Potato___Early_blight
valid\Potato___Early_blight\7a7ff9ee-1d6f-4ca8-a393-9c56ca74d7bb___RS_Early.B 8158.JPG,Potato___Early_blight
valid\Potato___Early_blight\7d90df0a-da17-4641-9006-75aa7de6ed5e___RS_Early.B 8702.JPG,Potato___Early_blight
valid\Potato___Early_blight\7f0c3ad4-67f7-4a6e-81da-5cdbe1c5ff8b___RS_Early.B 8453.JPG,Potato___Early_blight
valid\Potato___Early_blight\8002c1e4-0066-4764-9ed5-52d8334cd5c6___RS_Early.B 7855_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\8081f3a1-d992-43bf-afa4-402ed06a83b1___RS_Early.B 6860.JPG,Potato___Early_blight
valid\Potato___Early_blight\811eba3a-112e-43dd-8b22-57f3cde4c504___RS_Early.B 7983_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\82927769-4d4a-4f19-a806-a02f435ad17d___RS_Early.B 7886.JPG,Potato___Early_blight
valid\Potato___Early_blight\833c373e-d3fc-4d1e-86e7-8bd11d41a33e___RS_Early.B 7509_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\835e6cde-b1e2-48e6-b616-e0a4ca05b127___RS_Early.B 7143_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\838c8a0a-d112-4940-9a5d-221b4e9cc4c8___RS_Early.B 6967_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\83e334ee-bd8c-4aa5-bb8e-bc64d99bd5e2___RS_Early.B 7329.JPG,Potato___Early_blight
valid\Potato___Early_blight\83e334ee-bd8c-4aa5-bb8e-bc64d99bd5e2___RS_Early.B 7329_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\83e334ee-bd8c-4aa5-bb8e-bc64d99bd5e2___RS_Early.B 7329_flipTB.JPG,Potato___Early_blight
valid\Potato___Early_blight\83f244c6-e33e-4fbb-a9ef-3996cd25a547___RS_Early.B 8700.JPG,Potato___Early_blight
valid\Potato___Early_blight\84546db4-ea7c-4357-bf3d-6afcae9a05bf___RS_Early.B 7637_180deg.JPG,Potato___Early_blight
valid\Potato___Early_blight\848336c4-eaad-47e7-8458-5e80d5520d05___RS_Early.B 7729_180deg.JPG,Potato___Early_blight
